I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
51.548450,1.379185,0.117644,-0.002748,0.000008,4.966619,0.117373,0.993090,9.896923,0.000000,0.000000,0.000000
51.524548,1.365376,0.117546,-0.023975,0.000575,-1.932467,0.117239,0.993104,10.274743,0.000000,0.000000,0.000000
51.311836,1.024137,0.117486,-0.094362,0.008904,-189.644867,0.117315,0.993095,10.119487,0.000000,0.000000,0.000000
51.528774,1.364748,0.117496,0.005183,0.000027,5.113926,0.117254,0.993102,9.943589,0.000000,0.000000,0.000000
51.468983,1.387223,0.117690,0.017021,0.000290,-0.535905,0.117455,0.993078,9.807179,0.000000,0.000000,0.000000
51.561684,1.413076,0.117889,0.019045,0.000363,5.053425,0.117637,0.993057,9.570256,0.000000,0.000000,0.000000
51.553528,1.415875,0.118089,0.035119,0.001233,-5.505104,0.117874,0.993029,9.485897,0.000000,0.000000,0.000000
51.640564,1.427760,0.118215,0.013174,0.000174,0.463661,0.117939,0.993016,9.345898,0.000000,0.000000,0.000000
51.688354,1.447972,0.118338,0.020688,0.000428,-1.857462,0.118085,0.993003,9.622308,0.000000,0.000000,0.000000
51.600800,1.483229,0.118372,0.003714,0.000014,3.353537,0.118105,0.993001,9.527180,0.000000,0.000000,0.000000
51.648373,1.488673,0.118388,-0.002732,0.000007,-4.739309,0.118112,0.993016,9.449102,0.000000,0.000000,0.000000
51.277470,1.123117,0.118187,-0.110679,0.012250,-94.636116,0.117777,0.993040,9.563077,0.000000,0.000000,0.000000
51.567581,1.429187,0.117918,-0.038953,0.001517,-2.999721,0.117607,0.993060,9.657308,0.000000,0.000000,0.000000
51.633919,1.421834,0.117702,-0.030006,0.000900,3.030169,0.117360,0.993089,10.106923,0.000000,0.000000,0.000000
51.604324,1.378245,0.117439,-0.050914,0.002592,0.339379,0.117169,0.993121,10.062051,0.000000,0.000000,0.000000
51.661606,1.396536,0.117274,-0.018382,0.000338,0.984992,0.117057,0.993125,9.835897,0.000000,0.000000,0.000000
51.640385,1.384133,0.117125,-0.023627,0.000558,4.221028,0.116724,0.993164,9.649231,0.000000,0.000000,0.000000
51.628979,1.383101,0.117070,-0.002046,0.000004,2.046503,0.116802,0.993157,9.468846,0.000000,0.000000,0.000000
51.642914,1.432209,0.116971,-0.027710,0.000768,-3.580871,0.116658,0.993172,9.227436,0.000000,0.000000,0.000000
51.646996,1.416862,0.116851,-0.025029,0.000626,-7.152503,0.116553,0.993184,9.695897,0.000000,0.000000,0.000000
51.640274,1.416962,0.116616,-0.038008,0.001445,3.924718,0.116352,0.993216,9.752436,0.000000,0.000000,0.000000
51.704704,1.428501,0.116427,-0.028646,0.000821,92.318077,0.116164,0.993239,10.172436,0.000000,0.000000,0.000000
51.628654,1.375218,0.116183,-0.038464,0.001480,7.008232,0.115922,0.993265,10.347436,0.000000,0.000000,0.000000
51.691143,1.420847,0.116063,-0.011955,0.000143,-0.766596,0.115769,0.993276,10.155384,0.000000,0.000000,0.000000
51.742107,1.401607,0.115982,-0.015058,0.000227,-90.191711,0.115722,0.993283,9.972307,0.000000,0.000000,0.000000
51.790485,1.405359,0.115982,0.001707,0.000003,-4.176713,0.115714,0.993283,9.952564,0.000000,0.000000,0.000000
51.788986,1.408077,0.115974,0.002276,0.000005,1.796372,0.115718,0.993282,9.586411,0.000000,0.000000,0.000000
51.774925,1.439248,0.116058,0.013195,0.000174,-4.340233,0.115807,0.993272,9.688718,0.000000,0.000000,0.000000
51.616745,1.509999,0.115905,-0.007668,0.000059,3.054197,0.115731,0.993281,9.928333,0.000000,0.000000,0.000000
51.630402,1.493976,0.115759,-0.036619,0.001341,-6.434960,0.115436,0.993315,10.034230,0.000000,0.000000,0.000000
51.925900,1.792441,0.115645,0.087021,0.007573,191.323730,0.115388,0.993323,9.892436,0.000000,0.000000,0.000000
51.739513,1.434507,0.115568,-0.018886,0.000357,-5.972259,0.115271,0.993334,9.847564,0.000000,0.000000,0.000000
51.771599,1.415497,0.115493,-0.006406,0.000041,1.490737,0.115231,0.993339,9.880769,0.000000,0.000000,0.000000
51.792774,1.412940,0.115451,-0.017941,0.000322,-5.417746,0.115158,0.993347,9.853846,0.000000,0.000000,0.000000
51.780079,1.417620,0.115445,0.012789,0.000164,-0.144134,0.115203,0.993342,9.792820,0.000000,0.000000,0.000000
51.694809,1.430372,0.115498,-0.003540,0.000013,-2.461888,0.115242,0.993336,9.717436,0.000000,0.000000,0.000000
51.697601,1.426506,0.115526,0.001448,0.000002,1.685765,0.115277,0.993333,9.983974,0.000000,0.000000,0.000000
51.752121,1.407800,0.115851,0.017688,0.000313,6.592769,0.115627,0.993293,9.558590,0.000000,0.000000,0.000000
51.792999,1.407894,0.115930,0.009506,0.000090,-2.679324,0.115670,0.993285,9.611538,0.000000,0.000000,0.000000
51.772045,1.404738,0.115982,0.009655,0.000093,1.938095,0.116210,0.993278,9.602564,0.000000,0.000000,0.000000
51.799637,1.406958,0.116075,0.009602,0.000092,-2.435290,0.115826,0.993270,9.745256,0.000000,0.000000,0.000000
51.759964,1.402082,0.116096,0.005429,0.000029,2.713896,0.115862,0.993265,9.792820,0.000000,0.000000,0.000000
51.785328,1.406098,0.116168,0.007239,0.000052,-3.594746,0.115923,0.993258,9.835897,0.000000,0.000000,0.000000
51.811989,1.396519,0.116220,0.012210,0.000149,4.188336,0.115970,0.993253,9.747051,0.000000,0.000000,0.000000
51.814899,1.396341,0.116294,0.008189,0.000067,-4.778955,0.116032,0.993244,9.840384,0.000000,0.000000,0.000000
51.798607,1.394440,0.116343,0.011734,0.000138,2.269436,0.116081,0.993237,9.660897,0.000000,0.000000,0.000000
51.831718,1.392646,0.116406,0.004760,0.000023,-6.056263,0.116149,0.993232,9.762307,0.000000,0.000000,0.000000
51.835876,1.386968,0.116439,0.009896,0.000098,0.442327,0.116189,0.993227,9.741667,0.000000,0.000000,0.000000
51.886269,1.387362,0.116469,0.005069,0.000026,-0.963164,0.116214,0.993224,9.766794,0.000000,0.000000,0.000000
51.889153,1.383208,0.116487,0.001465,0.000002,0.260415,0.116241,0.993221,9.676153,0.000000,0.000000,0.000000
51.907944,1.371633,0.116822,0.007714,0.000060,-1.075495,0.116570,0.993182,9.787436,0.000000,0.000000,0.000000
51.928635,1.370490,0.116880,0.006712,0.000045,-4.509881,0.116620,0.993177,9.759615,0.000000,0.000000,0.000000
51.942623,1.370028,0.116925,0.001448,0.000002,-4.295707,0.116661,0.993172,9.717436,0.000000,0.000000,0.000000
51.939255,1.367436,0.116965,0.013751,0.000189,1.123201,0.117187,0.993165,9.756025,0.000000,0.000000,0.000000
51.956390,1.368604,0.117004,0.001967,0.000004,-0.554703,0.116751,0.993161,9.782948,0.000000,0.000000,0.000000
51.961884,1.369666,0.117065,0.011412,0.000130,0.257252,0.116811,0.993154,9.749743,0.000000,0.000000,0.000000
51.969921,1.365097,0.117100,0.006986,0.000049,-1.173398,0.116832,0.993150,9.733589,0.000000,0.000000,0.000000
51.946999,1.365494,0.117155,0.014186,0.000201,1.118068,0.116904,0.993143,9.789230,0.000000,0.000000,0.000000
51.912182,1.361859,0.117204,0.007528,0.000057,0.651930,0.116938,0.993139,9.783846,0.000000,0.000000,0.000000
51.953949,1.361562,0.117243,0.005101,0.000026,-2.684153,0.116975,0.993135,9.764102,0.000000,0.000000,0.000000
51.967201,1.363484,0.117418,0.000691,0.000000,-5.366392,0.117148,0.993116,9.545128,0.000000,0.000000,0.000000
52.019947,1.371709,0.117356,-0.016391,0.000269,-3.150050,0.117073,0.993123,9.631282,0.000000,0.000000,0.000000
51.991150,1.364329,0.117270,-0.012252,0.000150,1.957355,0.116972,0.993135,9.887051,0.000000,0.000000,0.000000
51.983593,1.363913,0.117196,-0.011250,0.000127,5.103647,0.116928,0.993144,10.046795,0.000000,0.000000,0.000000
52.017235,1.359988,0.117111,-0.008441,0.000071,3.496730,0.116843,0.993152,10.017179,0.000000,0.000000,0.000000
52.054897,1.341028,0.117086,0.002529,0.000006,4.096669,0.116822,0.993153,10.009103,0.000000,0.000000,0.000000
52.061035,1.342581,0.117148,0.017426,0.000304,1.512482,0.116898,0.993144,9.788333,0.000000,0.000000,0.000000
