I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
-222.762711,-29.553896,-0.192183,0.002662,0.000007,1.788039,-0.191002,0.981590,0.320859,0.000000,0.000000,9.765897
-222.825500,-29.540503,-0.192174,-0.002213,0.000005,-4.319095,-0.190993,0.981591,0.320859,0.000000,0.000000,9.732692
-222.753220,-29.542185,-0.192169,-0.000838,0.000001,1.260895,-0.190989,0.981593,0.320859,0.000000,0.000000,9.788333
-222.746735,-29.547377,-0.192161,0.001289,0.000002,0.415648,-0.190976,0.981594,0.320859,0.000000,0.000000,9.725513
-222.763168,-29.554373,-0.192147,0.002834,0.000008,1.016301,-0.190967,0.981596,0.320859,0.000000,0.000000,9.751538
-222.788330,-29.539165,-0.192163,-0.002997,0.000009,4.332006,-0.190983,0.981594,0.320859,0.000000,0.000000,9.747949
-222.808807,-29.553102,-0.192161,0.001960,0.000004,2.146024,-0.190973,0.981595,0.320859,0.000000,0.000000,9.737180
-222.815826,-29.539839,-0.192168,-0.004542,0.000021,2.726382,-0.190984,0.981593,0.320859,0.000000,0.000000,9.763205
-222.861862,-29.549778,-0.192147,-0.000254,0.000000,-1.454373,-0.190967,0.981595,0.320859,0.000000,0.000000,9.782051
-222.824829,-29.554783,-0.192157,0.002017,0.000004,0.782224,-0.190977,0.981594,0.320859,0.000000,0.000000,9.777564
-222.817078,-29.554798,-0.192170,-0.001167,0.000001,0.883665,-0.190997,0.981591,0.320859,0.000000,0.000000,9.713846
-222.847733,-29.638147,-0.192163,-0.000463,0.000000,-8.020535,-0.190994,0.981591,0.320859,0.000000,0.000000,9.144872
-222.848206,-29.691368,-0.192167,0.003987,0.000016,0.380241,-0.190986,0.981593,0.320859,0.000000,0.000000,9.453589
-222.878006,-29.725800,-0.192158,0.004236,0.000018,0.033784,-0.190970,0.981596,0.320859,0.000000,0.000000,9.657308
-222.851273,-29.754463,-0.192160,0.000103,0.000000,3.422252,-0.190976,0.981595,0.320859,0.000000,0.000000,9.572948
-222.808578,-29.768890,-0.192135,0.000865,0.000001,-5.242300,-0.190959,0.981598,0.320859,0.000000,0.000000,9.668974
-222.859787,-29.770418,-0.192155,0.003003,0.000009,5.947711,-0.190975,0.981594,0.320859,0.000000,0.000000,9.644743
-222.770233,-29.743938,-0.192186,-0.005854,0.000034,1.972979,-0.191013,0.981588,0.320859,0.000000,0.000000,9.662692
